epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2228.24,0.38403,1.00148,0.18103,0.29362,0.88953,0.9908,0.935,0.98666,0.90786,0.9785,0.95,0.97537,0.79777,0.46413,1.06199,0.16897,0.31318,0.80416,0.0005942,0.0005942,0.0005942
73,2258.96,0.39843,1.03998,0.18167,0.3053,0.88606,0.99535,0.925,0.98406,0.90664,0.98936,0.92987,0.97077,0.79668,0.46205,1.07424,0.1657,0.30177,0.79681,0.0005744,0.0005744,0.0005744
74,2289.73,0.39109,1.00643,0.17262,0.30045,0.88391,0.99741,0.925,0.98246,0.90343,0.9728,0.905,0.96053,0.79909,0.46874,1.04954,0.1671,0.30795,0.79582,0.0005546,0.0005546,0.0005546
75,2319.79,0.38284,0.98674,0.17258,0.29454,0.88337,0.98436,0.94425,0.98603,0.90101,0.98436,0.94425,0.9686,0.79138,0.46207,1.03848,0.16297,0.28521,0.79671,0.0005348,0.0005348,0.0005348
76,2349.59,0.38219,1.02736,0.1828,0.29854,0.88541,0.9947,0.93898,0.98828,0.91485,0.99257,0.94,0.97916,0.80874,0.43553,0.9931,0.16551,0.26576,0.78708,0.000515,0.000515,0.000515
77,2381.48,0.39607,0.98079,0.17414,0.29603,0.89034,1,0.93952,0.98748,0.90953,0.9885,0.965,0.98601,0.78804,0.46222,1.05032,0.15746,0.29241,0.80459,0.0004952,0.0004952,0.0004952
78,2411.57,0.37118,0.91046,0.17259,0.28738,0.87771,0.98939,0.93275,0.98942,0.91143,0.98331,0.92,0.96587,0.80532,0.44516,1.09347,0.15819,0.28488,0.80188,0.0004754,0.0004754,0.0004754
79,2441.9,0.38703,0.94781,0.17298,0.2926,0.88375,1,0.93431,0.98886,0.91352,0.98945,0.93825,0.97748,0.8251,0.44116,1.02309,0.16327,0.28019,0.79384,0.0004556,0.0004556,0.0004556
80,2473.12,0.37201,0.92595,0.1749,0.28687,0.88084,1,0.93414,0.98281,0.913,0.98971,0.96144,0.98836,0.81857,0.41428,0.99044,0.15884,0.27379,0.78,0.0004358,0.0004358,0.0004358
81,2503.09,0.3637,0.9203,0.17532,0.27287,0.86997,1,0.93951,0.98426,0.92216,0.98451,0.95316,0.97908,0.83716,0.43753,0.97467,0.16067,0.29115,0.7899,0.000416,0.000416,0.000416
82,2534.17,0.37909,0.95892,0.17201,0.29078,0.87855,0.98249,0.95,0.98516,0.91474,0.98966,0.95756,0.99156,0.82965,0.44219,0.97095,0.16061,0.27868,0.78345,0.0003962,0.0003962,0.0003962
83,2566.54,0.36025,0.84025,0.16485,0.27826,0.87221,0.98937,0.95,0.9848,0.90298,0.99471,0.93962,0.98251,0.82286,0.42758,0.93263,0.16054,0.27751,0.78621,0.0003764,0.0003764,0.0003764
84,2598.18,0.34984,0.8524,0.1713,0.26983,0.86834,0.9994,0.94,0.97863,0.91298,0.97697,0.955,0.97464,0.82012,0.42596,0.91682,0.15726,0.27477,0.79181,0.0003566,0.0003566,0.0003566
85,2629.09,0.35909,0.84678,0.16969,0.27583,0.87682,0.99957,0.94,0.98428,0.91446,0.98959,0.95043,0.97712,0.8335,0.44362,0.87814,0.16087,0.28857,0.79759,0.0003368,0.0003368,0.0003368
86,2659.37,0.35614,0.8509,0.17545,0.27055,0.87302,1,0.93991,0.97728,0.91126,0.97834,0.95,0.97751,0.84173,0.45364,0.83779,0.16103,0.30617,0.79545,0.000317,0.000317,0.000317
87,2690.21,0.354,0.87433,0.171,0.26996,0.86958,1,0.94839,0.97774,0.90565,0.98962,0.9534,0.98112,0.8292,0.43702,0.87632,0.16229,0.28812,0.79413,0.0002972,0.0002972,0.0002972
88,2720.92,0.34531,0.82643,0.16852,0.27,0.87537,0.98447,0.95096,0.98303,0.9111,0.99413,0.96,0.9841,0.82256,0.43506,0.8932,0.16109,0.28264,0.79568,0.0002774,0.0002774,0.0002774
89,2753.76,0.3499,0.85294,0.17332,0.27288,0.87286,0.9947,0.93917,0.97848,0.91451,0.98972,0.97,0.98522,0.82599,0.433,0.94021,0.16395,0.27833,0.79106,0.0002576,0.0002576,0.0002576
90,2785.78,0.32566,0.76317,0.16911,0.25279,0.8599,1,0.93905,0.97937,0.9139,0.98968,0.95928,0.98177,0.81995,0.44148,0.94242,0.15832,0.28005,0.79028,0.0002378,0.0002378,0.0002378
91,2818.52,0.28052,0.47437,0.12844,0.21708,0.83456,0.9926,0.95,0.97803,0.91286,1,0.94497,0.9847,0.81786,0.43463,0.92879,0.15678,0.27763,0.79362,0.000218,0.000218,0.000218
92,2849.07,0.28245,0.4616,0.12563,0.21445,0.8316,0.99948,0.94,0.98156,0.9115,0.9947,0.95,0.9865,0.84075,0.43096,0.86764,0.15668,0.28704,0.79217,0.0001982,0.0001982,0.0001982
93,2880.34,0.27599,0.46607,0.12474,0.20876,0.83604,1,0.93839,0.98064,0.91684,0.98908,0.97,0.98798,0.84902,0.4327,0.83685,0.15498,0.27405,0.79128,0.0001784,0.0001784,0.0001784
94,2911.52,0.27405,0.44006,0.12673,0.2143,0.83012,0.9998,0.94,0.98567,0.91921,0.99811,0.96,0.98755,0.83931,0.43475,0.86257,0.15696,0.26484,0.7929,0.0001586,0.0001586,0.0001586
95,2942.37,0.25796,0.43638,0.12277,0.20151,0.82605,0.98966,0.95712,0.9857,0.90994,0.99264,0.96,0.98676,0.83665,0.4479,0.85734,0.15559,0.2722,0.79875,0.0001388,0.0001388,0.0001388
96,2974.53,0.26408,0.42051,0.12188,0.20257,0.8326,1,0.94493,0.98231,0.90812,0.99825,0.955,0.98656,0.84154,0.44745,0.84113,0.15551,0.27353,0.79915,0.000119,0.000119,0.000119
97,3004.78,0.26047,0.40722,0.12439,0.20527,0.83236,0.99939,0.94,0.98433,0.90976,0.992,0.955,0.9853,0.83715,0.44765,0.89057,0.15553,0.28284,0.79858,9.92e-05,9.92e-05,9.92e-05
98,3035.41,0.24781,0.40484,0.12008,0.19951,0.82818,0.99473,0.94387,0.98488,0.91772,0.99413,0.965,0.98592,0.83022,0.43588,0.90889,0.15645,0.27605,0.79555,7.94e-05,7.94e-05,7.94e-05
99,3066.45,0.251,0.41185,0.12442,0.19613,0.82702,1,0.93948,0.985,0.91999,0.99364,0.97,0.9881,0.83947,0.42926,0.88413,0.15659,0.27973,0.79275,5.96e-05,5.96e-05,5.96e-05
100,3096.7,0.25329,0.4002,0.12193,0.19452,0.82805,1,0.93905,0.98436,0.92237,1,0.95714,0.9884,0.84361,0.43017,0.89799,0.1557,0.27844,0.79431,3.98e-05,3.98e-05,3.98e-05
